Date,Events
18.03.13, U.S. Treasury and FinCEN issue guidelines on virtual currency compliance.
02.07.13, Winklevoss twins file for a Bitcoin ETF with the SEC.
18.11.13, U.S. Senate holds hearings on Bitcoin.
14.04.14, IRS issues guidelines on cryptocurrency taxation.
17.07.14, New York introduces BitLicense.
10.03.17, SEC denies Winklevoss' ETF request.
01.04.17, Japan recognizes Bitcoin as a currency.
29.09.17, Japan’s Financial Services Agency (FSA) starts recognizing registered cryptocurrency exchanges.
10.12.17,CBOE get approval for Bitcoin futures.
11.12.17, SEC's Jay Clayton states Bitcoin isn't a financial security.
17.12.17, CME get approval for Bitcoin futures.
20.02.18," Germany’s financial regulator, BaFin, provides guidance on ICOs."
05.04.18, India's Reserve Bank prohibits banks from serving crypto businesses.
03.04.19, SEC publishes framework for ICOs.
09.05.19, IRS and FinCEN release cryptocurrency guidelines.
25.06.19,CFTC approves Ledger X
02.07.19, SEC considers running Bitcoin nodes
23.09.19," ICE launches physically-backed Bitcoin futures platform, Bakkt."
09.10.19, SEC denies Bitwise's Bitcoin ETF proposal.
19.11.19, Fidelity licensed for Bitcoin in New York
20.11.19,U.S. Federal Reserve explores digital dollar.
21.11.19, SEC sues Kik
26.12.19, Russia tests stablecoins.
01.01.20, EU's 5AMLD brings crypto exchanges under AML legislation.
12.03.20, The Bank of England releases a discussion paper on Central Bank Digital Currency.
10.07.20, EU's 6AMLD is implemented.
12.10.20, The European Central Bank (ECB) accelerates work on a digital euro.
19.04.21, UK explores digital currency
27.08.21,U.S. Federal Reserve issues fintech guidelines.
07.09.21,El Salvador adopts Bitcoin.
09.09.21,Ukraine parliament recognizes crypto
24.09.21, China bans crypto transactions
01.07.22, EU considers stricter crypto regulations.
01.12.22, Gary Gensler requests increased crypto regulation.
24.01.23, U.S. Senate Banking Committee discusses digital dollar.
18.09.23, South Korea emphasizes OTC regulations after illegal deals.